spotify_id,name,followers,popularity,genres,chart_hits
55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,1021256,71,"['dance pop', 'pop', 'post-teen pop']","['us (3)', 'gb (2)', 'au (3)', 'at (3)', 'be (3)', 'bo (1)', 'bg (2)', 'ca (3)', 'cy (3)', 'cz (6)', 'dk (3)', 'ee (3)', 'fi (4)', 'de (1)', 'gr (3)', 'hk (2)', 'hu (6)', 'is (2)', 'id (1)', 'ie (2)', 'lv (3)', 'lt (5)', 'lu (3)', 'my (1)', 'mt (4)', 'nl (2)', 'nz (3)', 'no (6)', 'ph (1)', 'pl (3)', 'pt (2)', 'ro (1)', 'sa (1)', 'sg (3)', 'sk (6)', 'za (1)', 'se (2)', 'ch (2)', 'tw (3)', 'tr (1)', 'ae (1)']"
6roFdX1y5BYSbp60OTJWMd,Tim McGraw,4126091,71,"['contemporary country', 'country', 'country road']","['us (3)', 'ca (2)']"
7cmuxPnXRJxwuYDHfbD8Eu,Zé Felipe,3584856,71,"['arrocha', 'arrochadeira']","['br (15)', 'py (5)', 'pt (6)']"
4IC2X34tZmHG3VfTbpzvwL,Julianno Sosa,244495,71,"['trap latino', 'urbano chileno']","['ar (1)', 'bo (1)', 'cl (15)', 'co (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'mx (1)', 'pa (1)', 'py (1)', 'pe (1)', 'es (1)', 'uy (1)']"
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,5005500,71,"['blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']","['us (1)', 'gb (1)', 'ar (3)', 'be (1)', 'br (2)', 'ca (1)', 'cl (2)', 'fr (1)', 'ie (1)', 'it (1)', 'mx (2)', 'nl (1)', 'pe (2)', 'pl (1)', 'pt (1)', 'ch (1)', 'tr (1)']"
68KmkJeZGfwe1OUaivBa2L,ATEEZ,2477399,71,"['k-pop', 'k-pop boy group']","['my (7)', 'sg (5)', 'kr (2)']"
5LeiVcEnsZcwc133TUhJNW,Belinda,1534292,71,"['dance pop', 'latin arena pop', 'latin pop', 'mexican pop', 'pop', 'post-teen pop']",['mx (1)']
4oLeXFyACqeem2VImYeBFe,Fred again..,261024,71,[],"['gb (3)', 'be (2)', 'dk (2)', 'ee (3)', 'fi (2)', 'de (2)', 'is (1)', 'ie (3)', 'lv (3)', 'lt (3)', 'lu (1)', 'nl (2)', 'no (1)', 'sk (1)', 'se (1)', 'ch (1)']"
0VKh7CQDi9MkUvaBMoK1V0,Bronco,2691821,71,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno', 'ranchera', 'tropical']","['mx (1)', 'py (1)']"
4IG1SDlwgNKzqTmjBrvY3K,Rei,186834,71,['trap argentino'],"['ar (6)', 'bo (1)', 'cl (1)', 'py (2)', 'es (1)', 'uy (4)']"
